oopsla2017项目,,,,,,,,
seq,project,file path,file name,line number,modified java files,git command, commit link,
24,elastic/elasticsearch,server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,BlobStoreRepository.java,L642-L642,21,git diff aacf62487465d1c656ddcb30ab50d4489854b80a d333dacb4abb14a58b36f3108521547ee374a06a server/src/main/java/org/elasticsearch/repositories/blobstore/BlobStoreRepository.java,https://github.com/elastic/elasticsearch/commit/d333dacb4abb14a58b36f3108521547ee374a06a,
25,elastic/elasticsearch,server/src/main/java/org/elasticsearch/repositories/RepositoryData.java,RepositoryData.java,L218-L218,4,git diff 3fab63ac26790ac143cb5eff60bb15a27903b3b6 8fd81df01ebf268f2560e497489595c818c28876 server/src/main/java/org/elasticsearch/repositories/RepositoryData.java,https://github.com/elastic/elasticsearch/commit/8fd81df01ebf268f2560e497489595c818c28876,performance
26,elastic/elasticsearch,server/src/main/java/org/elasticsearch/search/aggregations/InternalAggregations.java,InternalAggregations.java,L190-L190,30,git diff 0e55fdeae97e1e2575b4d1c27574aac82ae4423f af11ec59e019816819bde53ebb244a15e09a28ca server/src/main/java/org/elasticsearch/search/aggregations/InternalAggregations.java,https://github.com/elastic/elasticsearch/commit/af11ec59e019816819bde53ebb244a15e09a28ca,
27,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/aggregations/InternalAggregationsTests.java,InternalAggregationsTests.java,L134-L134,7,git diff 354f131449228ba4cfa9a9d31830b08ac20f7ffb 13bdbcacf1fdcd19c7cffe890f8369e58e544a9f server/src/test/java/org/elasticsearch/search/aggregations/InternalAggregationsTests.java,https://github.com/elastic/elasticsearch/commit/13bdbcacf1fdcd19c7cffe890f8369e58e544a9f,
28,elastic/elasticsearch,server/src/main/java/org/elasticsearch/search/aggregations/InternalAggregations.java,InternalAggregations.java,L78-L78,13,git diff 16d10aae71d15d951788d5c2b69592088450d226 e8c54c73dbee2877637c8dd076d82fb5a94e1b47 server/src/main/java/org/elasticsearch/search/aggregations/InternalAggregations.java,https://github.com/elastic/elasticsearch/commit/e8c54c73dbee2877637c8dd076d82fb5a94e1b47,
29,elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/aggregations/InternalAggregationsTests.java,InternalAggregationsTests.java,L85-L85,13,git diff 16d10aae71d15d951788d5c2b69592088450d226 e8c54c73dbee2877637c8dd076d82fb5a94e1b47 server/src/test/java/org/elasticsearch/search/aggregations/InternalAggregationsTests.java,https://github.com/elastic/elasticsearch/commit/e8c54c73dbee2877637c8dd076d82fb5a94e1b47,
30,elastic/elasticsearch,server/src/main/java/org/elasticsearch/search/SearchService.java,SearchService.java,L1205-L1205,35,git diff 3b7843d77400911910bd18ecb93eb81aee5e5cab 4d81edb6257732a73adc3e5bc5157ad01d1a42c4 server/src/main/java/org/elasticsearch/search/SearchService.java,https://github.com/elastic/elasticsearch/commit/4d81edb6257732a73adc3e5bc5157ad01d1a42c4,
31,elastic/elasticsearch,server/src/test/java/org/elasticsearch/action/search/SearchResponseMergerTests.java,SearchResponseMergerTests.java,L100-L100,35,git diff 3b7843d77400911910bd18ecb93eb81aee5e5cab 4d81edb6257732a73adc3e5bc5157ad01d1a42c4 server/src/test/java/org/elasticsearch/action/search/SearchResponseMergerTests.java,https://github.com/elastic/elasticsearch/commit/4d81edb6257732a73adc3e5bc5157ad01d1a42c4,
32,elastic/elasticsearch,server/src/test/java/org/elasticsearch/action/search/SearchResponseMergerTests.java,SearchResponseMergerTests.java,L114-L114,35,git diff 3b7843d77400911910bd18ecb93eb81aee5e5cab 4d81edb6257732a73adc3e5bc5157ad01d1a42c4 server/src/test/java/org/elasticsearch/action/search/SearchResponseMergerTests.java,https://github.com/elastic/elasticsearch/commit/4d81edb6257732a73adc3e5bc5157ad01d1a42c4,
33,elastic/elasticsearch,server/src/test/java/org/elasticsearch/action/search/SearchResponseMergerTests.java,SearchResponseMergerTests.java,L162-L162,35,git diff 3b7843d77400911910bd18ecb93eb81aee5e5cab 4d81edb6257732a73adc3e5bc5157ad01d1a42c4 server/src/test/java/org/elasticsearch/action/search/SearchResponseMergerTests.java,https://github.com/elastic/elasticsearch/commit/4d81edb6257732a73adc3e5bc5157ad01d1a42c4,
